PartNumber,lengthY,widthX,height,padX,padY,landingX,landingInsideX,landingY,padInsideX
APH0412,4.2,4.2,1.0,0.8,2.0,1.5,2.2,2.5,2.8
APH0420,4.2,4.2,1.8,0.8,2.0,1.5,2.2,2.5,2.8
APH0518,5.2,5.2,1.6,1.3,2.2,1.9,2.2,2.5,2.8
APH0530,5.2,5.2,2.8,1.3,2.2,1.9,2.2,2.5,2.8
APH0615,6.6,6.8,1.3,1.7,3.0,2.35,3.7,3.5,3.6
APH0618,6.6,6.8,1.6,1.7,3.0,2.35,3.7,3.5,3.6
APH0620,6.6,6.8,1.8,1.7,3.0,2.35,3.7,3.5,3.6
APH0624,6.6,6.8,2.2,1.7,3.0,2.35,3.7,3.5,3.6
APH0630,6.6,6.8,2.8,1.7,3.0,2.35,3.7,3.5,3.6
APH0640,6.6,6.8,3.8,1.7,3.0,2.35,3.7,3.5,3.6
APH0650,6.6,6.8,4.8,1.7,3.0,2.35,3.7,3.5,3.6
APH0840,8.0,8.6,3.8,1.8,3.0,3.0,4.0,4.1,5.2
APH0850,8.0,8.6,4.8,1.8,3.0,3.0,4.0,4.1,5.2
APH1030,10.0,10.8,2.8,2.0,3.0,4.1,5.4,4.1,7.0
APH1040,10.0,10.8,3.8,2.0,3.0,4.1,5.4,4.1,7.0
APH1050,10.0,10.8,4.8,2.0,3.0,4.1,5.4,4.1,7.0
APH1240,12.8,13.25,3.8,2.5,4.0,4.1,6.5,5.5,8.45
APH1250,12.8,13.25,4.8,2.5,4.0,4.1,6.5,5.5,8.45
APH1260,12.8,13.25,5.8,2.5,4.0,4.1,6.5,5.5,8.45
APH1265,12.8,13.25,6.5,2.5,4.0,4.1,6.5,5.5,8.45
APH1770,17.15,17.45,6.7,2.5,12.0,3.5,11.2,12.8,12.65
APH2213,22.0,23.3,12.6,5.0,19.0,5.75,12.5,19.6,13.5