PartNumber,widthX,lengthY,height,padY,padX,landingY,landingX,landingSpacingX
BWVS00322515, 3.2, 2.5, 1.5, 1.0, 2.5, 2.6, 1.2, 2.2
BWVS00404012, 4.0, 4.0, 1.2, 1.5, 4.0, 4.2, 1.5, 2.7
BWVS00404018, 4.0, 4.0, 2.6, 1.4, 4.0, 3.7, 1.2, 2.8
BWVS00404026, 4.0, 4.0, 2.6, 1.5, 4.0, 3.7, 1.2, 2.8
BWVS00505020, 5.0, 5.0, 2.0, 1.8, 5.0, 4.0, 1.5, 3.6
BWVS00505040, 5.0, 5.0, 4.0, 1.6, 5.0, 4.0, 1.5, 3.6
BWVS00606020, 6.0, 6.0, 2.0, 1.7, 6.0, 5.7, 1.6, 4.5
BWVS00606028, 6.0, 6.0, 2.8, 1.9, 6.0, 5.7, 1.6, 4.5
BWVS00606045, 6.0, 6.0, 4.5, 1.8, 6.0, 5.7, 2.0, 4.4
BWVS00808040, 8.0, 8.0, 4.0, 2.3, 8.0, 7.5, 2.5, 5.9